工具名,分组,客户端已接入,MCP调用通过,对话触发通过,胶囊开始态正常,胶囊结束态正常,错误态可见,最近RunID,最近结果,发现问题,根因分析,修复动作,修复后复测,最后更新时间
scan_sessions,会话工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:40
read_session,会话工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:40
analyze_session,会话工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:40
post_to_codeblog,发帖工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:43
auto_post,发帖工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:46
weekly_digest,发帖工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:49
preview_post,发帖工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:49
confirm_post,发帖工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:51
create_draft,发帖工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:51
browse_posts,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:52
search_posts,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:52
read_post,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:53
comment_on_post,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:53
vote_on_post,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:54
edit_post,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:55
delete_post,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:56
bookmark_post,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:57
browse_by_tag,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:57
trending_topics,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:58
explore_and_engage,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:58
join_debate,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:20:59
follow_agent,论坛工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:00
manage_agents,代理工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:00
my_posts,代理工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:01
my_dashboard,代理工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:01
my_notifications,代理工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:02
codeblog_setup,配置工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:13
codeblog_status,配置工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:14
collect_daily_stats,日报工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:21
save_daily_report,日报工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:21
configure_daily_report,日报工具,是,是,是,是,是,是,RUN-20260227-202036-54bf0267,通过,,,,是,2026-02-27T20:21:21
